customer_id,first_name,last_name,email,state,acquisition_channel,signup_date,is_subscriber,email_opt_in,date_of_birth
C000001,Patricia,Mitchell,patricia.mitchell282@yahoo.com,OR,paid_search,2023-04-25,False,False,1997-06-06
C000002,Robert,Johnson,robert.johnson96@yahoo.com,IL,paid_search,2024-03-08,False,True,1970-09-28
C000003,Mark,Lewis,mark.lewis604@outlook.com,OR,organic_search,2024-03-05,True,True,1995-03-21
C000004,Amanda,Miller,amanda.miller95@icloud.com,IL,organic_search,2023-08-09,False,False,1968-11-20
C000005,Jonathan,Davis,jonathan.davis997@icloud.com,MA,organic_search,2024-04-15,False,False,1986-01-30
C000006,Alexander,Jones,alexander.jones47@yahoo.com,PA,direct,2023-07-16,False,False,1984-07-03
C000007,Ryan,Green,ryan.green855@outlook.com,OR,organic_search,2023-10-12,False,True,1971-02-18
C000008,Katherine,Green,katherine.green176@yahoo.com,NV,organic_search,2023-03-15,False,True,1976-03-26
C000009,Janet,Lee,janet.lee864@gmail.com,NY,paid_social,2023-08-13,True,True,1976-03-10
C000010,Sandra,Adams,sandra.adams512@icloud.com,CA,referral,2023-11-19,False,True,1976-09-19
C000011,Heather,Nguyen,heather.nguyen439@icloud.com,CA,paid_search,2023-09-27,False,True,1999-08-23
C000012,Lisa,Green,lisa.green164@icloud.com,IL,paid_social,2023-04-23,False,True,1990-01-17
C000013,Janet,Campbell,janet.campbell118@outlook.com,NY,direct,2023-01-12,False,True,2000-11-25
C000014,Nicholas,Carter,nicholas.carter183@gmail.com,MA,referral,2023-09-27,False,True,1994-11-24
C000015,Christopher,Wright,christopher.wright977@gmail.com,CA,paid_social,2024-01-18,False,True,1988-04-08
C000016,Linda,Thomas,linda.thomas900@gmail.com,CA,organic_search,2023-09-03,False,False,1996-01-18
C000017,Raymond,Walker,raymond.walker970@yahoo.com,FL,paid_search,2023-05-12,False,True,1977-03-09
C000018,Catherine,Martin,catherine.martin409@outlook.com,CA,paid_social,2023-07-25,False,True,1986-05-31
C000019,Virginia,Scott,virginia.scott236@yahoo.com,CA,organic_search,2023-01-22,False,True,1999-09-01
C000020,Barbara,Allen,barbara.allen244@outlook.com,CA,email,2023-12-05,False,False,1976-04-30
C000021,Dorothy,Walker,dorothy.walker827@icloud.com,FL,paid_social,2024-04-29,True,True,1969-08-21
C000022,Gregory,Adams,gregory.adams662@gmail.com,VA,organic_search,2023-02-25,False,True,1992-07-28
C000023,Jonathan,Lewis,jonathan.lewis144@icloud.com,OH,organic_search,2023-07-14,False,True,1976-11-11
C000024,Michael,Adams,michael.adams554@gmail.com,PA,organic_social,2023-04-11,False,True,1979-07-05
C000025,Sandra,Sanchez,sandra.sanchez925@gmail.com,MN,paid_social,2024-05-07,True,False,1989-07-27
C000026,Carolyn,Campbell,carolyn.campbell803@icloud.com,NJ,organic_search,2024-03-09,False,True,1977-11-18
C000027,Heather,Lee,heather.lee59@gmail.com,PA,paid_social,2023-03-04,False,True,1978-05-29
C000028,Betty,Jones,betty.jones610@gmail.com,CA,email,2023-03-24,False,False,1990-03-14
C000029,Christine,Garcia,christine.garcia430@outlook.com,GA,referral,2023-02-10,False,True,1983-05-17
C000030,Rachel,Adams,rachel.adams308@icloud.com,CA,paid_search,2023-05-15,False,True,1976-02-17
C000031,Barbara,Wright,barbara.wright219@outlook.com,CA,organic_search,2023-04-13,False,True,1988-07-06
C000032,Jeffrey,Wright,jeffrey.wright721@outlook.com,MA,email,2023-06-11,False,True,1976-07-31
C000033,Raymond,Miller,raymond.miller962@yahoo.com,AZ,paid_search,2023-11-03,False,True,1989-03-20
C000034,Catherine,Perez,catherine.perez209@outlook.com,TN,paid_social,2023-08-04,False,True,1973-02-25
C000035,Emily,Williams,emily.williams4@outlook.com,NY,direct,2024-03-09,False,False,1977-06-16
C000036,Emma,Smith,emma.smith115@gmail.com,CA,organic_social,2024-03-13,False,True,1985-08-26
C000037,Laura,Rodriguez,laura.rodriguez43@outlook.com,NJ,paid_search,2023-06-01,False,True,1985-05-19
C000038,Janet,Thomas,janet.thomas683@gmail.com,OH,paid_search,2023-08-04,False,False,1994-09-03
C000039,Christopher,Lopez,christopher.lopez903@icloud.com,NY,organic_search,2023-08-31,False,False,1971-08-19
C000040,Paul,Hernandez,paul.hernandez807@gmail.com,TX,paid_social,2023-09-12,True,False,1986-01-11
C000041,Ashley,Anderson,ashley.anderson25@yahoo.com,CA,paid_search,2023-11-09,False,False,1986-02-13
